Department,Department Code,Program Code,DRF Program,Description EN,Description FR
National Research Council of Canada,228,BNQ09,Information and Communications Technologies,"In support of Canada's digital economy, the Information and Communications Technologies program applies leading-edge expertise in software development, semiconducting materials and photonic device design and fabrication to design, validate, demonstrate and deliver both physical and software solutions that lead to new market opportunities for industries in Canada's information and communication technology (ICT) sector that seek to profit from an explosive growth of data and from escalating needs for greater connectivity and for revolutionary ways to use computers to make decisions, synthesize information, and discover new knowledge. This is important for increasing Canada's global share of the growing ICT market. Results are achieved through multi-disciplinary collaborative research and development services in addition to specialized technical services in state-of-the-art facilities for transferring or advancing technologies into deployed solutions and improved practices for the marketplace. This includes custom manufacturing of novel components for innovative photonic, electronic, and optoelectronic devices.","Pour appuyer l’économie numérique du Canada, le programme Technologies de l’information et des communications applique une expertise de pointe dans le développement de logiciels, les matériaux semi-conducteurs, et la conception et la fabrication d’appareils photoniques pour concevoir, valider, démontrer et livrer des solutions physiques et logicielles menant à de nouvelles occasions de marché pour des industries dans le secteur canadien des technologies de l’information et des communications (TIC) qui cherchent à tirer profit d’une croissance explosive des données et des besoins grandissants de connectivité accrue et de manières révolutionnaires d’utiliser des ordinateurs pour prendre des décisions, synthétiser l’information et découvrir de nouvelles connaissances. Cela est important pour accroître la part mondiale du Canada du marché des TIC en pleine croissance. On obtient des résultats grâce à des travaux de recherche-développement collaboratifs multidisciplinaires, en plus de services techniques spécialisés dans des installations de pointe pour transférer ou faire progresser des technologies afin d’en faire des solutions déployées et des pratiques améliorées pour le marché. Cela comprend la fabrication personnalisée de nouveaux composants destinés à des appareils photoniques, électroniques et optoélectroniques novateurs."
National Research Council of Canada,228,BNQ12,Medical Devices,"The Medical Device program’s strategic goal is to catalyze Canada’s medical device industry, working with Canadian small and medium-sized enterprises (SMEs) and international companies with significant investment in Canada by providing research and technology solutions, as well as working with partner Federal government departments and agencies to address Government priorities. Economic factors are moving healthcare towards value-based delivery, which is creating numerous opportunities for the health technologies industry, particularly for cost-effective technological innovations. The program applies expertise in biochips, nanomaterials, microdevices, in vitro diagnostics, imaging, optical bio-photonics, medical simulation, and radio-frequency engineering and electronics to develop and advance technologies for enhancing the prosperity of the medical device industry as it strives to respond to increasing demands for equipment and supplies that are faster, more accurate, more informative, more affordable and less invasive. The industry is important for its growing contribution to Canada’s Gross Domestic Product (GDP) and its contribution to effective and efficient health care. Results are achieved through provision of industry-driven technical services and multi-disciplinary collaborative research.","Le but stratégique du programme Dispositifs médicaux est d’agir comme catalyseur pour l’industrie canadienne des dispositifs médicaux, de collaborer avec des petites et moyennes entreprises (PME) canadiennes et des entreprises internationales ayant fait des investissements importants au Canada, en fournissant des solutions liées à la recherche et à la technologie, ainsi que de collaborer avec des ministères et organismes fédéraux partenaires pour répondre aux priorités gouvernementales. Des facteurs économiques poussent les soins de santé vers une mise en œuvre axée sur la valeur, ce qui crée de nombreuses occasions pour l’industrie des technologies de la santé, surtout pour des innovations technologiques rentables. Le programme applique son expertise dans les domaines des biopuces, des nanomatériaux, des microdispositifs, des diagnostics in vitro, de l’imagerie, de la biophotonique optique, de la simulation médicale, et de l’ingénierie et des circuits électroniques à radiofréquences afin de développer et de faire progresser des technologies permettant d’améliorer la prospérité de l’industrie des dispositifs médicaux, alors qu’elle s’efforce de répondre aux demandes croissantes d’équipement et de fournitures plus rapides, plus exactes, plus informatives, plus abordables et moins invasives. L’industrie est importante pour sa contribution croissante au produit intérieur brut (PIB) du Canada et sa contribution à des soins de santé efficaces et efficients. On obtient des résultats par la prestation de services techniques axés sur l’industrie et par la recherche en collaboration multidisciplinaire."
National Research Council of Canada,228,BNQ15,"Ocean, Coastal, and River Engineering","The Ocean, Coastal and River Engineering (OCRE) program develops solutions that address engineering challenges in rivers, lakes and marine environments to improve the performance and safety of marine operations and protect infrastructure, property and people from severe weather events and other environmental risks through expertise in harsh environments characterized by ice, wave, wind and cold temperatures. Working with collaborative, strategic research and development clients and partners, OCRE delivers innovative technologies and support to improve Canada’s competitiveness by reducing risks and costs of marine operations while assuring safe and responsible development of marine-based resources.","Le programme Génie océanique, côtier et fluvial (GOCF) crée des solutions qui répondent à des défis techniques dans les rivières, les lacs et les environnements marins, afin d’améliorer le rendement et la sécurité des activités maritimes et de protéger l’infrastructure, la propriété privée et les gens contre les phénomènes météorologiques violents et autres risques environnementaux, grâce à son expertise dans les environnements hostiles caractérisés par la glace, les vagues, le vent et le froid. En travaillant avec des partenaires et clients en recherche et développement stratégique et de collaboration, le GOCF fournit des technologies novatrices et appuie l’amélioration de la compétitivité du Canada en réduisant les risques et les coûts des activités maritimes, tout en assurant un développement sûr et responsable des ressources marines."
Natural Resources Canada,134,BTM04,Green Mining Innovation,"This strategic research and development program is delivered by NRCan’s CanmetMINING laboratories. The program has two key objectives: to reduce the environmental impacts of mining; and to improve Canada’s competitiveness. Strong environmental performance is closely linked to the long-term economic growth of the mining industry and is essential for maintaining public trust in Canada’s development of its mineral resources. In undertaking this work, NRCan is focussed on four priority areas: energy efficiency, enhanced productivity, waste management and water management. Several specialized services such as the production of certified reference materials and diesel engine certification are also delivered by the program.","Ce programme stratégique de recherche et développement est offert par les laboratoires CanmetMINES de RNCan. Le programme a deux objectifs principaux : réduire les impacts environnementaux de l’exploitation minière; améliorer la compétitivité du Canada. Un bon rendement environnemental est étroitement lié à la croissance économique à long terme de l’industrie minière et est essentiel pour garder la confiance du public dans la mise en valeur des ressources minérales du Canada. En entreprenant ce travail, RNCan se concentre sur quatre domaines prioritaires : efficacité énergétique, productivité accrue, gestion des déchets et gestion de l’eau. Le programme offre plusieurs services spécialisés, tels que la production de matériaux de référence certifiés et la certification des moteurs diesels."
Natural Resources Canada,134,BTM12,Innovative Geospatial Solutions,"NRCan delivers geospatial data innovation and experimentation through research and development into new technologies, interoperability, technology transfer, methods, standardization and product (new forms of evidence) delivery of ways to observe the Earth. The program and its stakeholders create new science, data and tools to collect, supply, use and share information to support critical and emerging GoC priorities. Geospatial innovation supports downstream research and critical operations, leading to better decision making for the environment, society and the economy. To deliver its innovative geospatial solutions, the program works closely with stakeholders internal to government, provinces, territories and communities, economic segments in natural resources, geomatics and Earth Observation, citizens, non-profit institutions and organizations including academia, and foreign entities.","RNCan offre et permet l'innovation et l'expérimentation de données géospatiales grâce à la recherche et au développement de nouvelles technologies, à l'interopérabilité, au transfert de technologie, aux méthodes, à la normalisation et à la fourniture de produits (nouvelles formes de preuves) d'observation de la Terre. Le programme et ses parties prenantes créent de nouvelles données scientifiques, données et outils pour collecter, fournir, utiliser et partager des informations afin de soutenir les priorités critiques et émergentes du GC. L'innovation géospatiale soutient la recherche d’aval et les opérations critiques, menant à une meilleure prise de décision pour l'environnement, la société et l'économie. Pour fournir ses solutions géospatiales novatrices, le programme travaille en étroite collaboration avec les intervenants des gouvernements, des provinces, des territoires et des collectivités, des segments économiques des ressources naturelles, de la géomatique et de l'observation de la Terre, des citoyens, des institutions et organisations à but non lucratif, y compris des universités et des entités étrangères."
Natural Resources Canada,134,BTM09,Electricity Resources,"The Electricity Resources Branch leads on supporting clean electricity infrastructure projects, the deployment of smart grid infrastructure, and the deployment of emerging non-greenhouse gas emitting technologies. It develops federal policy and programs in the areas of renewable, electrical and nuclear energy, uranium and radioactive waste. It provides advice and recommendations on domestic and international issues regarding electricity, the nuclear supply chain and the nuclear fuel cycle. It supports the Minister in his legislative responsibilities re: the Nuclear Energy Act, Nuclear Fuel Waste Act, Nuclear Safety and Control Act, Nuclear Liability and Compensation Act, etc. It supports the Minister regarding his responsibilities for the Canadian Nuclear Safety Commission and Atomic Energy of Canada Limited.","La Direction des ressources en électricité est un leader dans le soutien aux projets d’infrastructure électrique propre, de déploiement d’infrastructures de réseaux intelligents et de déploiement de nouvelles technologies n’émettant pas d’émissions de gaz à effet de serre. Elle élabore des politiques et des programmes fédéraux dans les domaines de l’énergie renouvelable, électrique et nucléaire, de l’uranium et des déchets radioactifs. Elle fournit des conseils et des recommandations sur les questions nationales et internationales concernant l’électricité, la chaîne d’approvisionnement nucléaire et le cycle de combustible nucléaire. Elle appuie le ministre dans ses responsabilités législatives : la Loi sur l’énergie nucléaire, la Loi sur les déchets de combustible nucléaire, la Loi sur la sûreté et la réglementation nucléaires, la Loi sur la responsabilité et l’indemnisation en matière nucléaire, etc. Elle soutient le ministre dans ses responsabilités à l’égard de la Commission canadienne de sûreté nucléaire et d’Énergie atomique du Canada limitée."
Natural Resources Canada,134,BTM02,Clean Growth in Natural Resource Sectors,"This program advances clean technologies in Canada’s natural resources sector by funding RD&D projects. Projects taken in collaboration with ODGs, academia and other organizations will realize reductions in negative impacts of GHG emissions. By focusing on Impact Canada (Clean Technology Stream, Smart Cities Stream), Clean Growth in Natural Resources Sectors, Oil Spill Response and Low-Carbon Government projects, this program advances clean technologies across all Canadian natural resources sectors while realizing economic and environmental benefits. This program also supports projects leading to tangible improvements in competitiveness and sustainability of resource development and use in Canada by utilizing a series of prize-based challenges for breakthrough technologies to persistent complex problems. This program also contributes towards the government wide Mission Innovation commitment.","Ce programme favorise l’avancement des technologies propres dans le secteur des ressources naturelles au Canada en finançant des projets de la recherche, et le développement et la démonstration (R-D-D). Ces projets réalisés en collaboration avec d’autres ministères, des universités et d’autres organisations permettront de réduire l’incidence négative des émissions de gaz à effet de serre (GES). Par l’entremise des projets d’Impact Canada (Technologies propres, Défi des villes intelligentes), du Programme sur la croissance propre dans les secteurs des ressources naturelles, du Programme d’intervention en cas de déversement d’hydrocarbures et du Gouvernement à faibles émissions de carbone, ce programme fait progresser les projets de technologies propres dans tous les secteurs canadiens des ressources naturelles, tout en procurant des avantages économiques et environnementaux. Ce programme soutient également des projets qui conduisent à des améliorations tangibles de la compétitivité et de la durabilité de l’exploitation et de l’utilisation des ressources au Canada en proposant une série de concours axés sur des prix pour reconnaître les avancées technologiques qui contribuent à la résolution de problèmes complexes. Le programme contribue en outre à la réalisation de l’engagement pangouvernemental Mission Innovation."
Natural Resources Canada,134,BTO08,Science and Technology Internship Program,"Since 1997, NRCan has contributed to the Youth Employment Strategy through the Science and Technology Internship Program (STIP), which supports the integration of post-secondary graduates between the ages of 15-30 into Science, Technology, Engineering and Math (STEM) fields in the natural resources sectors. Using a third party delivery model, NRCan provides funding for internships through contribution agreements. The recipient organizations take responsibility for delivering the internship funding to hiring organizations that host the interns. This program supports the Minister's commitment to assist in the development and promotion of Canadian scientific and technological capabilities, and to address labour shortages in STEM fields. The program also promotes diversity in the natural resources labour market by targeting 50% participation by individuals in the designated employment equity groups.","RNCan contribue à la Stratégie emplois jeunesse depuis 1997 par l'intermédiaire de son Programme de stages en sciences et technologie (PSST), lequel soutient l'intégration de diplômés postsecondaires âgés de 15 à 30 dans les domaines de la science, de la technologie, de l'ingénierie et des mathématiques (STIM) dans les secteurs des ressources naturelles. Selon un modèle de prestation de tierce partie, RNCan offre des subventions salariales pour des stages par l'intermédiaire d'ententes de contribution. Les organismes bénéficiaires ont la responsabilité d'offrir les stages et collaborent avec les organisations d'embauche qui proposent les stages. Ce programme appuie l'engagement du ministre de participer aux efforts de développement et de promotion des capacités scientifiques et technologiques du Canada et de lutter contre les pénuries de main-d'œuvre dans les domaines de STIM. Le programme favorise la diversité dans le marché du travail des ressources naturelles en ciblant 50% de participation des individus des groupes visés par l'équité en matière d'emploi."
Natural Resources Canada,134,BTM08,Lower Carbon Transportation,"In line with Canada’s objectives to address climate change, the Lower Carbon Transportation program’s objective is to increase energy efficiency in the transportation sector and to transition transportation to lower carbon options. The program provides accurate, relevant and factual information on fuel efficiency and lower carbon modes of on-road transportation to raise awareness on fuel efficiency and inform purchasing decisions on lower carbon transportation products and services. Effective fleet management practices to reduce greenhouse gases are also shared with industry, P/T and other Federal Departments. Partnerships with external organizations to share information, best practices and benchmark, also incite behavioural change for those operating vehicles and those providing or using commercial freight and passenger services. Development of codes and standards, and alignment of codes and standards across North America supports those who supply vehicles, fuels, and develop infrastructure by enabling the compatibility between components of lower carbon vehicles and refueling infrastructure. Direct financial support to the private sector strengthens their investment in the installation of lower carbon fuels recharging and refueling infrastructure. This is built upon strong collaboration with provinces and territories.","Conformément aux objectifs du Canada visant à lutter contre les changements climatiques, l’objectif du programme de transport à teneur réduite en carbone est d’accroître l’efficacité énergétique dans le secteur des transports et de réaliser une transition vers des options à teneur réduite en carbone. Le programme fournit des informations précises, pertinentes et factuelles sur l’efficacité énergétique et les modes de transport routier à teneur réduite en carbone afin de sensibiliser à l’efficacité énergétique et de faciliter la prise de décisions d’achat sur les produits et services de transport à teneur réduite de carbone. De plus, le programme partage des pratiques efficaces de gestion de la flotte avec l’industrie, les provinces et les territoires et d’autres ministères fédéraux adoptent aussi des pratiques efficaces de gestion de la flotte afin de réduire les gaz à effet de serre. Les partenariats avec des organisations externes, pour partager l’information, les meilleures pratiques et des points de référence, incitent aussi à des changements de comportement chez ceux qui opèrent des véhicules et ceux qui fournissent ou utilisent des services commerciaux de fret et de passagers. L’élaboration de codes et de normes et l’harmonisation des codes et des normes en Amérique du Nord soutiennent ceux qui fournissent des véhicules, des carburants et développent des infrastructures en permettant la compatibilité entre les composants des véhicules à teneur réduite en carbone et l’infrastructure de ravitaillement. Le soutien financier direct au secteur privé encourage ce dernier à investir dans l’installation d’infrastructures de recharge et de ravitaillement en carburants à teneur réduite en carbone. Cela repose sur une forte collaboration avec les provinces et les territoires."
Natural Resources Canada,134,BTM03,Energy Innovation Program,"This program supports energy technology innovation through research, development and demonstration (RD&D) of clean and efficient energy production and use. Clean energy RD&D is undertaken through the CanmetENERGY research facilities through partnerships with stakeholders and with project proponents. By focusing on Green Infrastructure (Smart Grids, Remote Communities, Electric Vehicle Charging Infrastructure, Energy Efficient Buildings), research into unconventional energy efficiency (buildings, industry, and communities), this program drives the update of near-commercial clean energy technology and promotes the adoption of Canadian scientific and technical capabilities to deliver tangible, lasting infrastructure assets that provide economic and environmental benefits. This program also contributes towards the government wide Mission Innovation commitment.","Ce programme appuie l’innovation en matière de technologie énergétique grâce à la recherche, au développement et à la démonstration (R-D-D) portant sur la production et l’utilisation d’une énergie propre et efficace. La R-D-D sur l’énergie propre est entreprise grâce aux installations de recherche de CanmetÉNERGIE, aux partenariats avec des parties prenantes et aux promoteurs de projets. En mettant l’accent sur les programmes d’infrastructure verte (réseaux intelligents, collectivités éloignées, infrastructure pour la recharge des véhicules électriques, bâtiments écoénergétiques) et la recherche sur les projets d’efficacité énergétique non conventionnelle (bâtiments, industrie et collectivités), ce programme favorise l’actualisation de technologies énergétiques propres presqu’au point pour le marché et fait la promotion de l’adoption des capacités scientifiques et techniques canadiennes en vue de produire des éléments d’infrastructure concrets et durables qui procure des avantages économiques et environnementaux. Le programme contribue en outre à la réalisation de l’engagement pangouvernemental Mission Innovation."
Natural Resources Canada,134,BTO01,Forest Sector Competitiveness,"This program responds to cyclical and structural downturns and trade irritants that threaten the forest industry. The Program seeks to diversify markets, products, and processes. These outcomes are essential to the long-term survival and growth of Canada's forest products industry. This Program addresses forest industry challenges/needs through initiatives that advance Canada's bioeconomy and create/maintain market opportunities. Program success is also supported by work that advances favourable international forest policies and increased Indigenous participation in natural resource development. Initiatives include the delivery of transfer payment programs, the development of strategies, advocacy/advice, and international policy work that together advance Canada's priorities on trade, jobs, the economy, climate change and other environmental issues. Target groups include: the forest industry; buyers of Canadian wood products; construction practitioners, e.g., building engineers, architects and builders; federal government departments, e.g. Global Affairs Canada; foreign governments; provinces/territories; and Indigenous groups.","Ce Programme répond aux ralentissements conjoncturels et structurels et aux irritants commerciaux qui menacent l'industrie forestière. Le programme cherche à diversifier les marchés, les produits et les processus. Ces résultats sont indispensables pour la survie à long terme ainsi que pour la croissance de l'industrie canadienne des produits forestiers. Ce programme aborde les défis et les besoins de l'industrie forestière grâce aux initiatives qui font progresser la bioéconomie canadienne et qui créent et maintiennent des débouchés commerciaux. Le succès du programme est aussi appuyé par des travaux qui favorisent des politiques forestières internationales favorables et une participation accrue des Autochtones au mise en valeur des ressources naturelles. Des initiatives incluent la prestation des programmes de paiements de transfert, l'élaboration des stratégies, le plaidoyer / les conseils et du travail politique au niveau international, qui, ensemble, font avancer les priorités du Canada sur le plan du commerce, de l'emploi, de l'économie, du changement climatique, et d'autres enjeux environnementaux. Les groupes ciblés incluent l'industrie forestière, les acheteurs de produits du bois canadien et les praticiens de la construction (p. ex., ingénieurs en bâtiments, architectes et bâtisseurs, des ministères du gouvernement fédéral, des provinces et des territoires, et des groupes autochtones)."
Natural Sciences and Engineering Research Council,230,BNR03,Research Partnerships,"This Program fosters partnerships in natural sciences and engineering that facilitates the transfer of knowledge and skills to the user sector through awards that support research projects and network activities intended for socioeconomic impact. The partnerships encouraged and enabled by these awards also increase the commercialization of Canada's research through new products, services, and processes for the benefit of all Canadians.","Ce programme appuie les partenariats de recherche entre les chercheurs du milieu postsecondaire et les entreprises en vue de faire progresser la commercialisation de nouveaux produits. Le programme stimule les investissements des entreprises dans la recherche afin de créer de la valeur et d’appuyer le processus d’innovation, de l’idée à la commercialisation. Ces partenariats permettent aussi aux entreprises d’avoir accès à la base de connaissances issues des travaux de recherche appuyés par l’intermédiaire du Programme de recherche axé sur la découverte."
Public Services and Procurement Canada,136,,Unknown,,
Western Economic Diversification Canada,140,BNW02,Business Growth,"The Business Growth Program has two domains which support western Canadian businesses, industry and research organizations to enhance their productivity, participation in global markets, and competitiveness. The Trade, Investment and Market Access domain increases Western Canada's participation in global markets, increasing awareness of Western Canada's technology capabilities abroad and attracting foreign investment to the region. The Business Productivity domain supports western Canadian businesses, not for profit organizations and industry in initiatives to enhance productivity, competitiveness and the growth of western Canadian businesses.","Le programme de Croissance des entreprises comporte deux secteurs de soutien aux entreprises, à l'industrie et aux organismes de recherche de l'Ouest canadien en vue de favoriser leur productivité, leur participation aux marchés mondiaux, et leur compétitivité. Les échanges, l'investissement et le domaine d'accès au marché favorisent la participation de l'Ouest canadien sur les marchés mondiaux, ce qui contribue à faire connaître les capacités technologiques de l'Ouest canadien à l'étranger et à attirer les investissements étrangers dans la région. Le domaine de la productivité des entreprises appuie les entreprises canadiennes de l'Ouest, les organismes sans but lucratif et l'industrie dans le cadre d'initiatives visant à accroître la productivité, la compétitivité et la croissance de celles-ci."
Western Economic Diversification Canada,140,BNW01,Innovation,"Introducing innovative new products, technologies or improvements to existing processes enhances business growth and competitiveness in the global marketplace. WD's Innovation programming makes strategic investments with western Canadian businesses, industry organizations and post-secondary institutions to enhance business innovation through research and development, and technology commercialization.","Ajouter de nouveaux produits d'innovation, de nouvelles technologies ou des améliorations aux processus existants encourage la croissance des entreprises et la compétitivité sur le marché mondial. Les programmes d'innovation de DEO permettent de faire des investissements stratégiques dans les entreprises, les organismes de l'industrie et les institutions postsecondaires de l'Ouest canadien afin d'améliorer l'innovation dans l'entreprise par l'entremise de la recherche et du développement et de la commercialisation technologique."
Western Economic Diversification Canada,140,BNW03,Business Services,"The Business Services program consists of six Western Canada Business Service Network (WCBSN) members, which are independent organizations that receive financial support from WD to provide services to prospective and current entrepreneurs to help start, grow or expand small businesses across western Canada. This network offers its services to western Canadians in over 100 locations. WCBSN members include: Community Futures; Women's Enterprise Initiative; Indigenous Business Development Services; Francophone Economic Development Organizations; Entrepreneurs with Disabilities Program; and Canada Business Network.","Le programme de Services aux entreprises est constitué de six membres du Réseau de services aux entreprises de l'Ouest canadien (RSEOC), qui sont des organismes indépendants et qui reçoivent un soutien financier de DEO en vue d'assurer la prestation de services à des entrepreneurs éventuels et actuels, contribuant ainsi au démarrage et à la croissance, ou à l'expansion d'une petite entreprise à l'échelle de l'Ouest canadien. Ce réseau offre ses services aux résidents de l'Ouest canadien dans plus de 100 localités. Les membres du RSEOC comprennent notamment : la Société d'aide au développement des collectivités; l'Initiative pour les femmes entrepreneurs; les services de développement pour les entreprises autochtones; les Organisations francophones à vocation économique; le Programme d'aide aux entrepreneurs ayant une incapacité; Réseau Entreprises Canada."
Western Economic Diversification Canada,140,BNW04,Community Initiatives,"The Community Initiatives program provides targeted funding to support economic development activities in communities across Western Canada. Programming in this area is often through dedicated, temporary supplementary funding from the Government of Canada or through the department's own special allocations in response to the specific challenges that affect western Canadian communities. It also provides community funding in Western Canada to build and renew infrastructure in rural and urban municipalities across Canada, allowing them to compete in the regional, national and global economy.","Le programme d'initiatives communautaires fournit un financement ciblé en vue de soutenir des activités de développement économique dans les collectivités de l'Ouest canadien. La prestation de programmes dans cette région est souvent assurée par l'affectation d'un financement supplémentaire provisoire du gouvernement du Canada, ou au moyen d'affectations spéciales provenant du ministère pour répondre à des enjeux précis qui ont une incidence sur les collectivités de l'Ouest canadien. Il assure également un financement aux collectivités de l'Ouest canadien en vue de construire et renouveler les infrastructures dans les municipalités rurales et urbaines à travers le pays, leur permettant ainsi de demeurer compétitives dans l'économie régionale, nationale et mondiale."
Employment and Social Development Canada,128,BGO14,Temporary Foreign Worker Program,"The Temporary Foreign Worker Program facilitates economic growth by providing employers with access to temporary foreign workers when Canadian citizens or permanent residents are not available, while ensuring that rights of foreign workers are protected. The Program is jointly administered by Employment and Social Development Canada (ESDC), Immigration, Refugees and Citizenship Canada (IRCC) and the Canada Border Services Agency (CBSA). Service Canada conducts Labour Market Impact Assessments for employers applying to hire temporary foreign workers to determine the effect these workers would have on the Canadian job market. This program assesses the impact by looking at labour market information for the region and the occupation, the employers’ recruitment and advertisement efforts, wages and working conditions, labour shortages and the transfer of skills and knowledge to Canadians. Service Canada answers queries through Employer Contact Centres, the Internet and at in-person points of service. ESDC works with IRCC, CBSA and the provinces and territories to monitor and share information that has an impact on the integrity of the TFW Program and the IRCC-led International Mobility Program. These programs are legislated through the Immigration and Refugee Protection Act and Regulations. Service Canada conducts inspections for the TFW Program and, on behalf of IRCC for the International Mobility Program. In Quebec, the program is administered in partnership with the Province.","Le Programme des travailleurs étrangers temporaires (TET) stimule la croissance économique en permettant aux employeurs d’embaucher des travailleurs étrangers temporaires lorsqu’aucun citoyen canadien ni résident permanent n’est disponible, tout en veillant à ce que les droits des travailleurs étrangers soient respectés. Le Programme est administré conjointement par Emploi et Développement social Canada (EDSC), Immigration, Réfugiés et Citoyenneté Canada (IRCC) et l’Agence des services frontaliers du Canada (ASFC). Service Canada effectue des Évaluations de l’impact sur le marché du travail pour les employeurs qui présentent une demande pour embaucher des travailleurs étrangers temporaires, afin de déterminer les répercussions que l’embauche de ces travailleurs aurait sur le marché du travail canadien. Le Programme évalue l’impact en examinant l’information sur le marché du travail pour la région et la profession concernées, les efforts de recrutement et d’affichage de postes déployés par les employeurs, les salaires et les conditions de travail, les pénuries de main-d’œuvre et le transfert de compétences et de connaissances aux Canadiens. Service Canada répond aux demandes de renseignements au moyen des Centres de services aux employeurs, d’Internet et de points de service en personne. EDSC travaille avec IRCC, l’ASFC et les provinces et territoires pour contrôler et partager l’information ayant une incidence sur l’intégrité du Programme des TET et le Programme de mobilité internationale que dirige IRCC. Ces programmes sont réglementés par la Loi et le Règlement sur l’immigration et la protection des réfugiés. Service Canada effectue des inspections au titre de ces deux programmes, mais le fait au nom d’IRCC dans le cas du Programme de mobilité internationale. Au Québec, le Programme des TET est administré en partenariat avec la province."
